Nationality,Position,Date of Birth,Height,Name,Apps,Goals,Goals per Game,Shots,Shots on Target,Shot Acc.,Assists,Passes,Passes per Game,Chances Created,Crosses,Cross Acc.,Yellow Cards,Red Cards,Fouls,Offsides,Tackles,Successful Tackles,Blocked Shots,Interceptions,Clearances,Duels Won,Duels Lost,Aerials Won,Aerials Lost,50/50 Tackle Wins
Denmark,Defender,10/04/1996 (24),188cm,Andreas Christensen,62,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,30/09/1992,188cm,Cyrus Christie,28,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,06/04/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,26/09/1989 (31),185cm,Ciaran Clark,185,15,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/09/1996,185cm,Matthew Clarke,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,22/09/1997,188cm,Jake Clarke-Salter,1,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,19/10/2001 (19),175cm,Leighton Clarkson,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Scotland,Defender,16/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,05/04/1991 (29),175cm,Nathaniel Clyne,194,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,25/02/1993 (27),185cm,Conor Coady,91,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/04/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,11/10/1988 (32),177cm,Séamus Coleman,282,20,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Forward,28/01/2000 (20),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Defender,30/08/1991 (29),180cm,Liam Cooper,13,1,,,,,,,,,,,,,,,,,,,,,,,,
Canada,Forward,17/05/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,25/06/1989 (31),183cm,Jack Cork,264,8,0.03,137,42,31%,9,"11,059",41.89,11,151,17%,32,0,211,13,466,71%,43,400,477,"1,312","1,335",393,479,184
England,Midfielder,31/10/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic,Defender,22/08/1992 (28),179cm,Vladimir Coufal,12,0,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Midfielder,25/12/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,25/03/2000 (20),177cm,Conor Coventry,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Defender,07/12/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Midfielder,07/04/1996,175cm,Josh Cullen,3,0,3,0,0,0%,0,4,1.33,0,0,0%,0,0,0,0,0,0%,0,2,1,0,1,0,0,0
England,Goalkeeper,04/09/1999,186cm,Jamie Cumming,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,26/04/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,02/04/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Midfielder,19/04/1991 (29),183cm,Stuart Dallas,15,3,0.2,19,9,47%,0,814,54.27,2,29,14%,3,0,12,0,42,62%,5,22,19,83,75,15,21,10
Portugal,Midfielder,21/10/1995 (25),165cm,Daniel Podence,23,4,0.17,35,16,46%,2,486,21.13,4,26,15%,2,0,13,5,11,64%,11,12,2,81,71,5,16,41
England,Defender,14/02/1987 (33),188cm,Scott Dann,234,16,,,,,,,,,,,,,,,,,,,,,,,,
Austria,Defender,19/09/1998,190cm,Kevin Danso,6,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,08/10/1990 (30),190cm,Karl Darlow,33,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Defender,22/04/1987 (33),189cm,David Luiz,201,13,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,30/06/1998 (22),180cm,Tom Davies,113,5,0.04,60,15,25%,4,"3,083",27.28,6,45,22%,22,0,122,9,140,61%,25,110,63,438,507,75,123,80
England,Forward,13/02/1998 (22),191cm,Keinan Davis,20,0,20,17,5,29%,0,153,7.65,0,4,,,,,,,,,,,,,,,
England,Defender,06/05/1990 (30),188cm,Craig Dawson,182,14,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Defender,07/11/1992,179cm,Laurens De Bock,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,Midfielder,28/06/1991 (29),181cm,Kevin De Bruyne,168,38,0.23,407,142,35%,73,"8,992",53.52,108,"1,186",26%,15,0,132,17,229,67%,112,91,63,686,823,65,105,242
Jamaica,Forward,02/02/1993 (27),170cm,Bobby De Cordova-Reid,41,9,0.22,41,16,39%,2,603,14.71,1,20,,,,,,,,,,,,,,,
Spain,Goalkeeper,07/11/1990 (30),192cm,David de Gea,325,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Midfielder,23/05/1998,178cm,Luca de la Torre,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,08/02/2003 (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,21/11/1989 (31),174cm,Fabian Delph,190,7,0.04,145,36,25%,8,"9,039",47.57,7,201,26%,29,3,142,1,398,70%,36,286,220,999,712,130,165,263
Belgium,Midfielder,03/04/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,06/09/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Forward,18/10/1995,175cm,Fousseni Diabaté,15,0,15,6,2,33%,1,241,16.07,0,12,,,,,,,,,,,,,,,
France,Midfielder,08/03/1999 (21),179cm,Ibrahima Diallo,7,0,7,0,0,0%,0,73,10.43,0,2,2%,1,0,5,0,5,40%,0,3,1,9,12,0,2,3
England,Midfielder,19/04/1998 (22),180cm,Grady Diangana,30,1,0.03,21,6,29%,1,500,16.67,3,27,22%,0,0,13,5,50,50%,6,13,10,153,168,27,42,42
England,Midfielder,15/01/1994 (26),188cm,Eric Dier,188,10,0.05,121,29,24%,8,"10,366",55.14,11,122,19%,34,0,170,6,291,73%,33,266,591,863,736,451,330,53
France,Defender,20/07/1993 (27),178cm,Lucas Digne,78,4,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,18/03/1999,183cm,Diogo Dalot,20,0,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Forward,04/12/1996 (24),178cm,Diogo Jota,76,21,0.28,147,61,41%,6,"1,781",23.43,15,81,,,,,,,,,,,,,,,
Senegal,Defender,10/10/2001,183cm,Alpha Richard Dionkou,0,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,09/01/1997 (23),194cm,Issa Diop,69,4,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,01/01/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,Midfielder,15/06/1998 (22),177cm,Moussa Djenepo,29,3,0.1,28,10,36%,2,439,15.14,3,24,17%,6,1,42,5,45,69%,6,13,9,158,153,10,29,61
Ireland,Defender,16/01/1992 (28),182cm,Matt Doherty,82,8,,,,,,,,,,,,,,,,,,,,,,,,
France,Midfielder,01/01/1993 (27),184cm,Abdoulaye Doucouré,144,18,0.12,193,58,30%,13,"7,433",51.62,16,73,19%,34,0,157,10,262,58%,61,161,174,633,714,169,181,137
Scotland,Defender,04/09/1989,176cm,Barry Douglas,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,09/05/1998 (22),175cm,Douglas Luiz,49,3,0.06,49,16,33%,3,"1,760",35.92,4,36,22%,10,1,70,0,58,48%,18,52,65,203,220,47,50,44
England,Midfielder,10/10/1997,175cm,Kieran Dowell,2,0,2,0,0,0%,0,30,15,0,5,5%,0,0,1,0,0,0%,0,0,0,2,12,0,1,2
England,Midfielder,17/10/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,05/03/1990,178cm,Danny Drinkwater,104,4,0.04,95,17,18%,8,"5,250",50.48,11,103,19%,11,1,150,1,264,70%,29,149,164,471,558,84,130,72
England,Defender,26/11/1999 (21),181cm,Anthony Driscoll-Glennon,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Slovakia,Goalkeeper,15/01/1989 (31),190cm,Martin Dubravka,88,0,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,01/01/1992,193cm,Shane Duffy,96,6,,,,,,,,,,,,,,,,,,,,,,,,
Wales,Defender,26/09/1991 (29),183cm,Paul Dummett,129,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,21/11/1991 (29),192cm,Lewis Dunk,122,7,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,Defender,19/10/1997 (23),183cm,Jimmy Dunne,2,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,03/10/1996,193cm,Jake Eastwood,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Goalkeeper,17/08/1993 (27),188cm,Ederson,123,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Forward,20/05/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,17/02/1998 (22),172cm,Kyle Edwards,5,0,5,2,1,50%,0,34,6.8,0,1,,,,,,,,,,,,,,,
Ireland,Defender,20/10/1992 (28),185cm,John Egan,50,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,18/11/1997,183cm,Ovie Ejaria,2,0,2,0,0,0%,0,8,4,0,0,0%,0,0,0,0,1,1%,0,0,0,1,1,0,0,0
Netherlands,Midfielder,03/05/1995 (25),188cm,Anwar El Ghazi,42,9,0.21,76,35,46%,4,602,14.33,5,139,24%,4,0,25,13,22,59%,16,17,12,128,186,40,70,44
Sweden,Forward,27/04/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,04/04/2003,170cm,Harvey Elliott,4,0,4,1,1,100%,0,22,5.5,0,3,3%,0,0,0,0,0,0%,0,0,0,1,1,0,0,1
Italy,Defender,03/08/1994 (26),176cm,Emerson,32,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Midfielder,22/05/2001,184cm,Ulrick Eneme Ella,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Belgium,Defender,15/09/1994 (26),193cm,Björn Engels,17,1,,,,,,,,,,,,,,,,,,,,,,,,
Northern Ireland,Defender,03/01/1988 (32),188cm,Jonny Evans,309,11,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,29/06/1998 (22),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Goalkeeper,18/04/1985 (35),190cm,Lukasz Fabianski,259,0,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,23/10/1993 (27),188cm,Fabinho,69,3,0.04,32,8,25%,5,"4,178",60.55,4,19,37%,13,0,69,0,152,55%,11,80,73,355,283,122,94,22
Portugal,Forward,19/07/2002 (18),185cm,Fábio Silva,10,1,0.1,15,4,27%,0,100,10,0,1,,,,,,,,,,,,,,,
Spain,Goalkeeper,31/12/1987 (32),184cm,Fabri,2,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,11/03/2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,15/04/1993,175cm,Felipe Anderson,63,10,0.16,81,33,41%,8,"2,567",40.75,14,155,28%,4,0,44,7,136,60%,25,63,22,366,387,16,45,139
Belgium,Forward,11/10/1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,06/10/2000 (20),178cm,Nathan Ferguson,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Defender,21/02/1989 (31),190cm,Federico Fernández,181,4,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Midfielder,04/05/1985 (35),179cm,Fernandinho,231,18,0.08,223,64,29%,16,"15,028",65.06,24,71,21%,47,4,328,4,555,70%,52,356,417,"1,354","1,208",431,344,187
Ireland,Midfielder,07/12/2000,176cm,Will Ferry,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Midfielder,08/05/1998 (22),185cm,Sam Field,22,1,0.05,6,1,17%,0,297,13.5,0,15,20%,5,0,18,0,24,88%,4,17,11,54,58,14,15,5
England,Midfielder,27/11/2002 (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,24/08/1991 (29),170cm,John Fleck,39,5,0.13,36,12,33%,2,"1,262",32.36,5,178,23%,8,0,30,1,46,70%,13,29,22,141,158,17,34,51
Ireland,Midfielder,14/10/2001 (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,28/05/2000 (20),171cm,Phil Foden,51,8,0.16,62,26,42%,4,"1,007",19.75,4,52,19%,0,0,20,3,29,72%,16,14,5,123,126,18,38,50
England,Goalkeeper,14/01/1991 (29),185cm,Wes Foderingham,0,0,,,,,,,,,,,,,,,,,,,,,,,,
France,Defender,17/12/2000 (20),190cm,Wesley Fofana,11,0,,,,,,,,,,,,,,,,,,,,,,,,
Spain,Midfielder,22/02/1996 (24),178cm,Pablo Fornals,50,4,0.08,56,17,30%,7,"1,212",24.24,5,75,16%,5,0,26,9,56,55%,14,39,10,126,223,18,63,26
England,Midfielder,08/10/1991 (29),174cm,Adam Forshaw,35,0,35,28,6,21%,1,"1,355",38.71,3,51,20%,4,0,33,1,62,69%,9,36,23,133,169,17,41,22
England,Goalkeeper,17/03/1988 (32),201cm,Fraser Forster,107,0,,,,,,,,,,,,,,,,,,,,,,,,
United States,Defender,09/09/1998,180cm,Marlon Fossey,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,Defender,02/01/1998 (22),190cm,Timothy Fosu-Mensah,49,0,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Defender,12/01/1998,179cm,Juan Foyth,16,1,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Midfielder,16/07/2000 (20),166cm,Tyrese Francois,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Scotland,Midfielder,24/02/1994 (26),163cm,Ryan Fraser,127,16,0.13,134,62,46%,27,"3,538",27.86,41,729,23%,7,0,42,14,59,63%,38,69,83,381,365,35,98,67
Brazil,Midfielder,05/03/1993 (27),169cm,Fred,57,1,0.02,64,13,20%,1,"3,046",53.44,7,78,24%,13,0,85,2,120,51%,16,69,40,265,309,12,38,64
England,Defender,10/10/1992 (28),181cm,Ryan Fredericks,46,1,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,22/03/1992,181cm,Luke Freeman,11,0,11,3,0,3%,0,133,12.09,0,15,40%,2,0,6,0,6,67%,2,10,5,23,35,4,6,8
Austria,Defender,07/04/1986 (34),187cm,Christian Fuchs,116,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,31/10/1995 (25),183cm,Darnell Furlong,17,1,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,03/04/1997 (23),175cm,Gabriel Jesus,109,43,0.39,238,123,52%,18,"1,971",18.08,17,15,,,,,,,,,,,,,,,
Brazil,Defender,19/12/1997 (23),190cm,Gabriel Magalhães,12,2,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,Forward,18/06/2001 (19),180cm,Gabriel Martinelli,16,3,0.19,17,7,41%,0,133,8.31,0,23,23%,1,0,11,2,23,65%,3,5,5,53,98,8,40,12
Northern Ireland,Midfielder,11/05/2001,175cm,Ethan Galbraith,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
Scotland,Defender,23/07/1999,173cm,Tony Gallacher,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,06/02/2000 (20),182cm,Conor Gallagher,11,2,0.18,17,4,24%,0,385,35,0,12,17%,4,0,18,0,36,47%,5,11,11,80,84,12,15,11
Spain,Defender,09/01/2001 (19),182cm,Eric García,16,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,13/03/2001,186cm,James Garner,2,0,2,0,0,0%,0,15,7.5,0,0,0%,0,0,0,0,0,0%,0,0,1,1,1,0,0,0
England,Forward,17/10/1989 (31),174cm,Dwight Gayle,123,26,0.21,163,61,37%,6,"1,224",9.95,6,64,,,,,,,,,,,,,,,
Argentina,Goalkeeper,02/01/1992 (28),196cm,Paulo Gazzaniga,43,0,,,,,,,,,,,,,,,,,,,,,,,,
Cote D'Ivoire,Midfielder,25/09/1995 (25),186cm,Jean-Philippe Gbamin,2,0,2,0,0,0%,0,70,35,0,0,0%,0,0,2,0,4,75%,0,1,4,11,10,3,2,2
Portugal,Midfielder,09/01/1999 (21),182cm,Gedson Fernandes,7,0,7,1,0,1%,0,39,5.57,0,7,29%,0,0,0,0,2,2%,1,1,0,6,9,0,1,2
England,Forward,04/05/2002 (18),179cm,Joe Gelhardt,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Algeria,Midfielder,09/05/1992,182cm,Rachid Ghezzal,19,1,0.05,19,5,26%,0,422,22.21,3,45,36%,3,0,13,0,14,36%,10,7,3,51,66,10,7,19
England,Defender,26/09/1989 (31),181cm,Kieran Gibbs,176,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,27/01/2000,171cm,Morgan Gibbs-White,33,0,33,10,1,10%,1,396,12,2,19,32%,1,0,10,2,6,50%,2,3,0,42,56,16,20,13
England,Defender,15/01/1993,185cm,Ben Gibson,39,2,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,26/01/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,27/03/1992 (28),192cm,Mark Gillespie,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Scotland,Midfielder,11/06/2001 (19),166cm,Billy Gilmour,7,0,7,1,0,1%,0,182,26,0,2,2%,0,0,3,0,6,50%,0,3,2,14,16,3,5,2
France,Forward,30/09/1986 (34),192cm,Olivier Giroud,247,89,0.36,562,217,39%,28,"4,814",19.49,41,92,,,,,,,,,,,,,,,
England,Defender,15/01/1998 (22),183cm,Ben Godfrey,39,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,23/05/1997 (23),188cm,Joseph Gomez,79,0,,,,,,,,,,,,,,,,,,,,,,,,
Portugal,Defender,21/10/2000 (20),189cm,Gonçalo Cardoso,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,13/09/1999 (21),180cm,Mace Goodridge,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0%,0,0,0,0,0,0,0,0
England,Forward,13/02/2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,09/11/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,Goalkeeper,08/01/1999,195cm,Kamil Grabara,0,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Defender,13/08/2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
England,Goalkeeper,27/01/1983 (37),193cm,Lee Grant,31,0,,,,,,,,,,,,,,,,,,,,,,,,
England,Midfielder,28/06/1996 (24),180cm,Demarai Gray,133,10,0.08,139,47,34%,9,"1,929",14.5,13,265,18%,7,0,36,12,77,65%,45,39,39,312,402,24,102,138
England,Midfielder,10/09/1995 (25),175cm,Jack Grealish,84,14,0.17,142,46,32%,12,"2,614",31.12,22,239,23%,13,0,69,10,65,60%,51,50,18,557,373,46,57,162
England,Midfielder,26/07/1998,180cm,Andre Green,2,0,2,1,0,1%,0,23,11.5,0,8,38%,0,0,0,0,2,100%,1,3,0,4,7,0,0,2
England,Forward,01/10/2001 (19),181cm,Mason Greenwood,43,11,0.26,65,29,45%,1,744,17.3,1,15,,,,,,,,,,,,,,,
Germany,Midfielder,15/06/1991 (29),181cm,Pascal Groß,105,14,0.13,106,41,39%,17,"3,310",31.52,37,569,31%,8,0,73,22,107,49%,32,42,52,238,412,58,132,24
Poland,Midfielder,08/06/1988 (32),180cm,Kamil Grosicki,16,0,16,24,7,29%,4,254,15.88,5,85,20%,1,0,12,6,4,100%,4,8,6,21,59,1,11,13
Netherlands,Forward,13/03/1998,193cm,Jay-Roy Grot,0,0,0,0,0,0%,0,0,0,0,0,,,,,,,,,,,,,,,
Serbia,Midfielder,13/04/1996,191cm,Marko Grujic,8,0,8,4,2,50%,0,47,5.88,0,0,0%,1,0,2,0,3,67%,0,0,0,12,7,5,3,2
Spain,Goalkeeper,10/01/1987 (33),190cm,Vicente Guaita,71,0,,,,,,,,,,,,,,,,,,,,,,,,
Iceland,Midfielder,27/10/1990 (30),186cm,Jóhann Gudmundsson,100,7,0.07,118,39,33%,17,"1,842",18.42,12,443,32%,5,0,43,6,94,61%,32,93,91,320,381,96,121,65
France,Midfielder,14/04/1999,185cm,Matteo Guendouzi,57,0,57,27,9,33%,1,"2,750",48.25,4,21,10%,15,0,41,0,75,56%,11,59,58,263,217,31,40,47
France,Defender,24/12/1994 (26),178cm,Frédéric Guilbert,25,0,,,,,,,,,,,,,,,,,,,,,,,,
Germany,Midfielder,24/10/1990 (30),180cm,Ilkay Gündogan,111,17,0.15,138,38,28%,6,"6,514",58.68,12,151,28%,13,0,47,2,91,62%,49,89,50,287,302,47,61,82
England,Goalkeeper,22/01/1996,196cm,Angus Gunn,22,0,,,,,,,,,,,,,,,,,,,,,,,,
